t;DK_B_t;DK_L_t;DK_K_t ;DK_Q_t ;US_B_t;US_L_t;US_K_t;US_Q_t ;IN_B_t;IN_L_t;IN_K_t ;IN_Q_t ;CN_B_t;CN_L_t;CN_K_t ;CN_Q_t 
2026; 45.959,08 ; 3.076.888,20 ; 2.899.314.021.628,20 ; 431.063.983.399,84 ; 49.487,78 ; 173.057.570,37 ; 109.521.908.930.766,00 ; 24.163.578.925.321,50 ; 2.953,45 ; 633.424.042,50 ; 35.984.948.879.777,80 ; 7.872.180.054.150,47 ; 6.602,21 ; 684.471.397,76 ; 132.083.142.314.748,00 ; 19.290.342.313.105,30 
2027; 46.648,46 ; 3.094.488,00 ; 2.974.366.906.738,74 ; 440.839.486.883,71 ; 50.230,10 ; 175.411.153,32 ; 112.760.123.239.720,00 ; 24.867.086.992.606,10 ; 2.997,75 ; 645.649.126,52 ; 37.362.655.987.126,00 ; 8.158.602.885.031,76 ; 6.701,25 ; 693.232.631,66 ; 136.565.273.905.518,00 ; 19.879.525.999.018,90 
2028; 47.348,19 ; 3.112.188,47 ; 3.050.982.262.030,68 ; 450.815.936.490,19 ; 50.983,55 ; 177.796.745,01 ; 116.091.872.963.630,00 ; 25.590.879.153.883,30 ; 3.042,72 ; 658.110.154,66 ; 38.788.094.994.062,20 ; 8.454.915.772.419,41 ; 6.801,76 ; 702.106.009,34 ; 141.168.625.590.362,00 ; 20.484.778.562.336,00 
2029; 48.058,41 ; 3.129.990,19 ; 3.129.191.910.635,02 ; 460.997.545.342,08 ; 51.748,31 ; 180.214.780,74 ; 119.519.852.458.260,00 ; 26.335.539.751.670,90 ; 3.088,36 ; 670.811.680,65 ; 40.262.908.453.030,50 ; 8.761.460.846.682,45 ; 6.903,79 ; 711.092.966,26 ; 145.896.539.176.122,00 ; 21.106.554.723.854,40 
2030; 48.779,29 ; 3.147.893,73 ; 3.209.028.356.944,56 ; 471.388.613.283,14 ; 52.524,53 ; 182.665.701,76 ; 123.046.833.701.224,00 ; 27.101.669.959.589,70 ; 3.134,68 ; 683.758.346,09 ; 41.788.796.040.813,10 ; 9.078.592.071.615,97 ; 7.007,35 ; 720.194.956,23 ; 150.752.454.134.617,00 ; 21.745.321.817.736,40 
2031; 49.510,98 ; 3.165.899,68 ; 3.290.524.800.243,26 ; 481.993.528.716,75 ; 53.312,40 ; 185.149.955,30 ; 126.675.668.527.543,00 ; 27.889.888.267.178,10 ; 3.181,70 ; 696.954.882,16 ; 43.367.516.523.376,00 ; 9.406.675.653.777,53 ; 7.112,46 ; 729.413.451,67 ; 155.739.910.137.877,00 ; 22.401.560.149.533,70 
2032; 50.253,64 ; 3.184.008,63 ; 3.373.715.148.636,71 ; 492.816.770.481,30 ; 54.112,09 ; 187.667.994,69 ; 130.409.290.929.599,00 ; 28.700.830.978.672,80 ; 3.229,43 ; 710.406.111,39 ; 45.000.889.789.073,30 ; 9.746.090.465.981,05 ; 7.219,15 ; 738.749.943,85 ; 160.862.549.673.631,00 ; 23.075.763.363.955,00 
2033; 51.007,45 ; 3.202.221,16 ; 3.458.634.033.289,52 ; 503.862.909.763,12 ; 54.923,77 ; 190.220.279,42 ; 134.250.719.423.347,00 ; 29.535.152.726.153,60 ; 3.277,87 ; 724.116.949,34 ; 46.690.798.952.559,40 ; 10.097.228.485.438,90 ; 7.327,43 ; 748.205.943,13 ; 166.124.120.742.840,00 ; 23.768.438.822.664,00 
2034; 51.772,56 ; 3.220.537,86 ; 3.545.316.822.975,04 ; 515.136.612.047,89 ; 55.747,62 ; 192.807.275,22 ; 138.203.059.482.680,00 ; 30.393.526.997.470,70 ; 3.327,04 ; 738.092.406,46 ; 48.439.192.531.841,80 ; 10.460.495.247.057,80 ; 7.437,34 ; 757.782.979,20 ; 171.528.479.641.138,00 ; 24.480.107.992.410,60 
2035; 52.549,15 ; 3.238.959,34 ; 3.633.799.638.943,58 ; 526.642.639.111,24 ; 56.583,84 ; 195.429.454,17 ; 142.269.506.043.929,00 ; 31.276.646.679.376,70 ; 3.376,94 ; 752.337.589,91 ; 50.248.086.700.991,70 ; 10.836.310.312.413,70 ; 7.548,90 ; 767.482.601,34 ; 177.079.593.826.116,00 ; 25.211.306.843.796,10 
2036; 53.337,39 ; 3.257.486,19 ; 3.724.119.370.115,02 ; 538.385.851.049,69 ; 57.432,59 ; 198.087.294,74 ; 146.453.346.082.504,00 ; 32.185.224.616.303,30 ; 3.427,60 ; 766.857.705,39 ; 52.119.567.621.115,60 ; 11.225.107.754.947,00 ; 7.662,14 ; 777.306.378,63 ; 182.781.544.872.474,00 ; 25.962.586.260.989,30 
2037; 54.137,45 ; 3.276.119,01 ; 3.816.313.688.601,96 ; 550.371.208.352,50 ; 58.294,08 ; 200.781.281,95 ; 150.757.961.263.760,00 ; 33.119.994.185.232,80 ; 3.479,01 ; 781.658.059,11 ; 54.055.793.852.283,80 ; 11.627.336.661.940,50 ; 7.777,07 ; 787.255.900,28 ; 188.638.531.517.124,00 ; 26.734.512.462.709,20 
2038; 54.949,51 ; 3.294.858,41 ; 3.910.421.065.569,86 ; 562.603.774.015,67 ; 59.168,49 ; 203.511.907,38 ; 155.186.830.670.220,00 ; 34.081.709.887.127,70 ; 3.531,20 ; 796.744.059,65 ; 56.058.998.849.203,90 ; 12.043.461.653.858,80 ; 7.893,73 ; 797.332.775,80 ; 194.654.872.796.424,00 ; 27.527.667.434.806,90 
2039; 55.773,75 ; 3.313.705,00 ; 4.006.480.787.440,63 ; 575.088.715.698,76 ; 60.056,02 ; 206.279.669,33 ; 159.743.533.607.367,00 ; 35.071.147.955.395,90 ; 3.584,16 ; 812.121.220,00 ; 58.131.493.543.524,50 ; 12.473.963.421.651,80 ; 8.012,13 ; 807.538.635,33 ; 200.835.011.277.778,00 ; 28.342.649.374.779,80 
2040; 56.610,36 ; 3.332.659,39 ; 4.104.532.972.446,18 ; 587.831.307.925,64 ; 60.956,86 ; 209.085.072,83 ; 164.431.752.490.246,00 ; 36.089.106.981.881,10 ; 3.637,93 ; 827.795.159,54 ; 60.275.669.015.754,50 ; 12.919.339.282.641,80 ; 8.132,31 ; 817.875.129,87 ; 207.183.516.387.952,00 ; 29.180.073.148.563,90 
2041; 57.459,51 ; 3.351.722,20 ; 4.204.618.587.539,03 ; 600.836.934.330,03 ; 61.871,22 ; 211.928.629,82 ; 169.255.275.813.233,00 ; 37.136.408.560.884,80 ; 3.692,50 ; 843.771.606,12 ; 62.493.999.259.888,10 ; 13.380.103.755.638,30 ; 8.254,30 ; 828.343.931,53 ; 213.705.087.840.496,00 ; 30.040.570.759.959,00 
2042; 58.321,41 ; 3.370.894,05 ; 4.306.779.465.666,71 ; 614.111.089.946,95 ; 62.799,28 ; 214.810.859,18 ; 174.218.001.205.333,00 ; 38.213.897.951.738,80 ; 3.747,88 ; 860.056.398,12 ; 64.789.044.043.930,80 ; 13.856.789.155.944,70 ; 8.378,11 ; 838.946.733,85 ; 220.404.559.164.779,00 ; 30.924.791.833.049,00 
2043; 59.196,23 ; 3.390.175,57 ; 4.411.058.323.417,12 ; 627.659.383.550,83 ; 63.741,27 ; 217.732.286,87 ; 179.323.938.573.504,00 ; 39.322.444.760.460,70 ; 3.804,10 ; 876.655.486,61 ; 67.163.451.869.634,70 ; 14.349.946.210.946,20 ; 8.503,78 ; 849.685.252,05 ; 227.286.901.339.211,00 ; 31.833.404.107.988,90 
2044; 60.084,17 ; 3.409.567,37 ; 4.517.498.779.042,34 ; 641.487.540.041,64 ; 64.697,39 ; 220.693.445,97 ; 184.577.213.336.515,00 ; 40.462.943.641.045,40 ; 3.861,16 ; 893.574.937,50 ; 69.619.963.034.864,50 ; 14.860.144.696.989,10 ; 8.631,34 ; 860.561.223,27 ; 234.357.226.531.309,00 ; 32.767.093.950.543,40 
2045; 60.985,43 ; 3.429.070,10 ; 4.626.145.370.868,16 ; 655.601.402.879,71 ; 65.667,85 ; 223.694.876,84 ; 189.982.069.751.958,00 ; 41.636.315.016.954,60 ; 3.919,08 ; 910.820.933,79 ; 72.161.412.802.135,60 ; 15.387.974.098.289,40 ; 8.760,81 ; 871.576.406,93 ; 241.620.791.947.370,00 ; 33.726.566.875.766,00 
2046; 61.900,21 ; 3.448.684,38 ; 4.737.043.576.097,05 ; 670.006.936.570,55 ; 66.652,87 ; 226.737.127,16 ; 195.542.874.339.103,00 ; 42.843.505.823.389,90 ; 3.977,87 ; 928.399.777,81 ; 74.790.734.676.987,80 ; 15.934.044.288.632,20 ; 8.892,22 ; 882.732.584,94 ; 249.083.003.794.573,00 ; 34.712.548.086.224,80 
2047; 62.828,72 ; 3.468.410,85 ; 4.850.239.830.012,50 ; 684.710.229.200,70 ; 67.652,66 ; 229.820.752,09 ; 201.264.119.400.342,00 ; 44.085.490.270.943,70 ; 4.037,53 ; 946.317.893,53 ; 77.510.963.799.985,00 ; 16.498.986.236.650,00 ; 9.025,61 ; 894.031.562,03 ; 256.749.421.358.461,00 ; 35.725.783.025.187,30 
2048; 63.771,15 ; 3.488.250,16 ; 4.965.781.545.592,50 ; 699.717.495.025,57 ; 68.667,45 ; 232.946.314,32 ; 207.150.426.644.067,00 ; 45.363.270.631.248,80 ; 4.098,10 ; 964.581.828,87 ; 80.325.240.456.263,20 ; 17.083.452.735.496,00 ; 9.160,99 ; 905.475.166,02 ; 264.625.761.198.804,00 ; 36.767.037.945.188,00 
2049; 64.727,72 ; 3.508.202,95 ; 5.083.717.133.540,65 ; 715.035.077.110,55 ; 69.697,47 ; 236.114.384,19 ; 213.206.550.911.918,00 ; 46.677.878.045.255,10 ; 4.159,57 ; 983.198.258,17 ; 83.236.813.706.685,20 ; 17.688.119.157.755,90 ; 9.298,41 ; 917.065.248,15 ; 272.717.901.466.974,00 ; 37.837.100.492.418,20 
2050; 65.698,63 ; 3.528.269,88 ; 5.204.096.022.742,94 ; 730.669.450.026,44 ; 70.742,93 ; 239.325.539,82 ; 219.437.384.013.381,00 ; 48.030.373.354.790,40 ; 4.221,96 ; 1.002.173.984,55 ; 86.249.045.144.799,40 ; 18.313.684.236.471,20 ; 9.437,88 ; 928.803.683,32 ; 281.031.886.348.052,00 ; 38.936.780.307.381,40 
2051; 66.684,11 ; 3.548.451,58 ; 5.326.968.681.159,07 ; 746.627.222.600,38 ; 71.804,07 ; 242.580.367,16 ; 225.847.958.670.848,00 ; 49.421.847.958.070,10 ; 4.285,29 ; 1.021.515.942,45 ; 89.365.412.783.949,30 ; 18.960.870.873.177,00 ; 9.579,45 ; 940.692.370,47 ; 289.573.930.630.954,00 ; 40.066.909.642.281,40 
2052; 67.684,37 ; 3.568.748,72 ; 5.452.386.637.156,79 ; 762.915.140.723,41 ; 72.881,13 ; 245.879.460,15 ; 232.443.452.578.316,00 ; 50.853.424.689.851,50 ; 4.349,57 ; 1.041.231.200,14 ; 92.589.515.079.025,30 ; 19.630.426.973.889,60 ; 9.723,14 ; 952.733.232,81 ; 298.350.424.410.027,00 ; 41.228.343.995.608,30 
2053; 68.699,64 ; 3.589.161,96 ; 5.580.402.501.298,37 ; 779.540.090.215,99 ; 73.974,35 ; 249.223.420,81 ; 239.229.192.576.991,00 ; 52.326.258.726.938,90 ; 4.414,81 ; 1.061.326.962,30 ; 95.925.075.087.512,50 ; 20.323.126.314.010,20 ; 9.868,99 ; 964.928.218,19 ; 307.367.937.921.603,00 ; 42.421.962.764.415,70 
2054; 69.730,13 ; 3.609.691,97 ; 5.711.069.988.588,29 ; 796.509.099.752,57 ; 75.083,96 ; 252.612.859,33 ; 246.210.658.951.178,00 ; 53.841.538.519.770,80 ; 4.481,04 ; 1.081.810.572,68 ; 99.375.944.774.642,90 ; 21.039.769.433.143,40 ; 10.017,02 ; 977.279.299,38 ; 316.633.226.519.152,00 ; 43.648.669.914.781,90 
2055; 70.776,08 ; 3.630.339,41 ; 5.844.443.941.191,42 ; 813.829.343.846,56 ; 76.210,22 ; 256.048.394,22 ; 253.393.489.847.904,00 ; 55.400.486.750.840,20 ; 4.548,25 ; 1.102.689.516,73 ; 102.946.109.467.633,00 ; 21.781.184.560.868,60 ; 10.167,28 ; 989.788.474,41 ; 326.153.235.790.758,00 ; 44.909.394.670.973,60 
2056; 71.837,73 ; 3.651.104,95 ; 5.980.580.351.631,36 ; 831.508.145.896,88 ; 77.353,38 ; 259.530.652,38 ; 260.783.485.823.855,00 ; 57.004.361.320.721,20 ; 4.616,48 ; 1.123.971.424,40 ; 106.639.692.464.157,00 ; 22.548.228.574.531,30 ; 10.319,79 ; 1.002.457.766,89 ; 335.935.106.822.781,00 ; 46.205.092.223.834,80 
2057; 72.915,29 ; 3.671.989,27 ; 6.119.536.386.478,53 ; 849.552.981.297,54 ; 78.513,68 ; 263.060.269,26 ; 268.386.614.523.283,00 ; 58.654.456.362.496,80 ; 4.685,72 ; 1.145.664.072,89 ; 110.460.959.800.380,00 ; 23.341.787.990.164,80 ; 10.474,59 ; 1.015.289.226,30 ; 345.986.181.613.634,00 ; 47.536.744.458.945,00 
2058; 74.009,02 ; 3.692.993,05 ; 6.261.370.410.538,17 ; 867.971.480.611,38 ; 79.691,38 ; 266.637.888,92 ; 276.209.015.490.658,00 ; 60.352.103.285.406,80 ; 4.756,01 ; 1.167.775.389,50 ; 114.414.325.184.072,00 ; 24.162.779.987.686,80 ; 10.631,70 ; 1.028.284.928,40 ; 356.314.008.641.779,00 ; 48.905.360.705.102,90 
2059; 75.119,16 ; 3.714.116,97 ; 6.406.142.011.548,23 ; 886.771.432.809,54 ; 80.886,75 ; 270.264.164,21 ; 284.257.005.121.950,00 ; 62.098.671.848.556,10 ; 4.827,35 ; 1.190.313.454,52 ; 118.504.355.098.504,00 ; 25.012.153.471.555,40 ; 10.791,18 ; 1.041.446.975,48 ; 366.926.348.592.125,00 ; 50.311.978.503.706,90 
2060; 76.245,94 ; 3.735.361,72 ; 6.553.912.025.397,63 ; 905.960.788.577,89 ; 82.100,06 ; 273.939.756,84 ; 292.537.081.758.529,00 ; 63.895.571.265.549,90 ; 4.899,76 ; 1.213.286.504,19 ; 122.735.774.083.028,00 ; 25.890.890.168.114,90 ; 10.953,05 ; 1.054.777.496,77 ; 377.831.180.245.150,00 ; 51.757.664.399.619,40 
2061; 77.389,63 ; 3.756.727,99 ; 6.704.742.561.875,59 ; 925.547.663.691,84 ; 83.331,56 ; 277.665.337,53 ; 301.055.930.927.792,00 ; 65.744.251.340.947,00 ; 4.973,26 ; 1.236.702.933,72 ; 127.113.470.196.440,00 ; 26.800.005.760.895,10 ; 11.117,34 ; 1.068.278.648,73 ; 389.036.706.533.190,00 ; 53.243.514.754.123,20 
2062; 78.550,48 ; 3.778.216,47 ; 6.858.697.030.962,71 ; 945.540.342.461,10 ; 84.581,53 ; 281.441.586,12 ; 309.820.430.734.747,00 ; 67.646.203.639.447,70 ; 5.047,85 ; 1.260.571.300,34 ; 131.642.500.669.465,00 ; 27.740.551.065.182,50 ; 11.284,10 ; 1.081.952.615,43 ; 400.551.360.768.475,00 ; 54.770.656.580.583,60 
2063; 79.728,73 ; 3.799.827,87 ; 7.015.840.169.675,07 ; 965.947.281.245,66 ; 85.850,25 ; 285.269.191,69 ; 318.837.657.408.894,00 ; 69.602.962.688.758,50 ; 5.123,57 ; 1.284.900.326,44 ; 136.328.097.752.869,00 ; 28.713.613.243.216,30 ; 11.453,36 ; 1.095.801.608,91 ; 412.383.813.047.614,00 ; 56.340.248.403.461,00 
2064; 80.924,67 ; 3.821.562,89 ; 7.176.238.069.472,50 ; 986.777.112.044,70 ; 87.138,01 ; 289.148.852,70 ; 328.114.891.010.890,00 ; 71.616.107.217.103,30 ; 5.200,43 ; 1.309.698.902,74 ; 141.175.674.767.997,00 ; 29.720.317.061.419,60 ; 11.625,17 ; 1.109.827.869,50 ; 424.542.976.837.381,00 ; 57.953.481.141.327,50 
2065; 82.138,54 ; 3.843.422,23 ; 7.339.958.204.242,70 ; 1.008.038.646.159,76 ; 88.445,08 ; 293.081.277,10 ; 337.659.621.303.581,00 ; 73.687.261.426.381,00 ; 5.278,43 ; 1.334.976.091,56 ; 146.190.832.366.692,00 ; 30.761.826.191.115,50 ; 11.799,54 ; 1.124.033.666,23 ; 437.038.015.746.779,00 ; 59.611.579.014.558,40 
2066; 83.370,61 ; 3.865.406,60 ; 7.507.069.458.873,00 ; 1.029.740.877.933,88 ; 89.771,75 ; 297.067.182,47 ; 347.479.553.792.156,00 ; 75.818.096.301.994,40 ; 5.357,61 ; 1.360.741.130,13 ; 151.379.365.007.882,00 ; 31.839.344.554.235,70 ; 11.976,54 ; 1.138.421.297,16 ; 449.878.350.490.513,00 ; 61.315.800.478.397,60 
2067; 84.621,17 ; 3.887.516,73 ; 7.677.642.158.421,72 ; 1.051.892.988.568,24 ; 91.118,33 ; 301.107.296,15 ; 357.582.615.938.277,00 ; 78.010.330.960.407,00 ; 5.437,97 ; 1.387.003.433,94 ; 156.747.267.658.275,00 ; 32.954.117.715.574,20 ; 12.156,18 ; 1.152.993.089,77 ; 463.073.666.049.149,00 ; 63.067.439.182.101,20 
2068; 85.890,49 ; 3.909.753,32 ; 7.851.748.097.901,66 ; 1.074.504.350.017,88 ; 92.485,10 ; 305.202.355,38 ; 367.976.963.553.205,00 ; 80.265.734.035.514,90 ; 5.519,54 ; 1.413.772.600,21 ; 162.300.742.724.952,00 ; 34.107.434.323.200,50 ; 12.338,53 ; 1.167.751.401,31 ; 476.633.919.031.380,00 ; 64.867.824.954.900,80 
2069; 87.178,85 ; 3.932.117,11 ; 8.029.460.572.688,05 ; 1.097.584.528.968,26 ; 93.872,38 ; 309.353.107,41 ; 378.670.987.375.081,00 ; 82.586.125.104.953,60 ; 5.602,34 ; 1.441.058.411,40 ; 168.046.207.227.851,00 ; 35.300.627.598.694,00 ; 12.523,60 ; 1.182.698.619,25 ; 490.569.345.243.995,00 ; 66.718.324.819.527,70 
2070; 88.486,53 ; 3.954.608,82 ; 8.210.854.409.564,00 ; 1.121.143.290.894,28 ; 95.280,47 ; 313.560.309,67 ; 389.673.319.835.655,00 ; 84.973.376.157.482,80 ; 5.686,37 ; 1.468.870.838,74 ; 173.990.300.220.439,00 ; 36.535.076.878.925,00 ; 12.711,46 ; 1.197.837.161,58 ; 504.890.467.475.273,00 ; 68.620.344.034.081,80 
2071; 89.813,83 ; 3.977.229,18 ; 8.396.005.998.416,47 ; 1.145.190.604.203,51 ; 96.709,67 ; 317.824.729,88 ; 400.992.842.021.932,00 ; 87.429.413.102.644,70 ; 5.771,67 ; 1.497.220.045,93 ; 180.139.890.467.163,00 ; 37.812.209.211.165,60 ; 12.902,13 ; 1.213.169.477,25 ; 519.608.103.497.725,00 ; 70.575.327.163.029,50 
2072; 91.161,04 ; 3.999.978,93 ; 8.584.993.324.596,19 ; 1.169.736.644.465,31 ; 98.160,32 ; 322.147.146,21 ; 412.638.690.838.337,00 ; 89.956.217.323.900,40 ; 5.858,24 ; 1.526.116.392,81 ; 186.502.084.386.553,00 ; 39.133.501.003.373,70 ; 13.095,66 ; 1.228.698.046,55 ; 534.733.374.296.254,00 ; 72.584.759.178.159,70 
2073; 92.528,45 ; 4.022.858,81 ; 8.777.896.001.955,20 ; 1.194.791.798.727,90 ; 99.632,72 ; 326.528.347,40 ; 424.620.266.375.190,00 ; 92.555.827.276.506,00 ; 5.946,12 ; 1.555.570.439,19 ; 193.084.234.269.154,00 ; 40.500.479.731.559,90 ; 13.292,10 ; 1.244.425.381,55 ; 550.277.712.527.977,00 ; 74.650.166.590.325,30 
2074; 93.916,38 ; 4.045.869,57 ; 8.974.795.306.576,05 ; 1.220.366.669.924,76 ; 101.127,21 ; 330.969.132,92 ; 436.947.239.489.416,00 ; 95.230.340.131.413,80 ; 6.035,31 ; 1.585.592.948,67 ; 199.893.946.779.806,00 ; 41.914.725.706.210,40 ; 13.491,48 ; 1.260.354.026,43 ; 566.252.871.220.131,00 ; 76.773.118.612.842,50 
2075; 95.325,12 ; 4.069.011,94 ; 9.175.774.211.206,72 ; 1.246.472.081.372,76 ; 102.644,12 ; 335.470.313,13 ; 449.629.559.603.621,00 ; 97.981.913.466.521,00 ; 6.125,84 ; 1.616.194.892,58 ; 206.939.091.754.093,00 ; 43.377.873.899.810,70 ; 13.693,85 ; 1.276.486.557,97 ; 582.670.932.712.688,00 ; 78.955.228.357.429,90 
2076; 96.755,00 ; 4.092.286,69 ; 9.380.917.420.416,13 ; 1.273.119.081.363,48 ; 104.183,78 ; 340.032.709,39 ; 462.677.462.729.804,00 ; 100.812.767.006.638,00 ; 6.217,72 ; 1.647.387.454,01 ; 214.227.811.299.137,00 ; 44.891.615.837.580,70 ; 13.899,26 ; 1.292.825.585,91 ; 599.544.317.852.451,00 ; 81.198.154.063.601,90 
2077; 98.206,33 ; 4.115.694,57 ; 9.590.311.406.484,84 ; 1.300.318.947.849,97 ; 105.746,54 ; 344.657.154,23 ; 476.101.479.724.197,00 ; 103.725.184.413.572,00 ; 6.310,99 ; 1.679.182.031,87 ; 221.768.529.209.256,00 ; 46.457.701.553.610,40 ; 14.107,75 ; 1.309.373.753,41 ; 616.885.795.445.635,00 ; 83.503.600.362.454,70 
2078; 99.679,42 ; 4.139.236,34 ; 9.804.044.446.046,31 ; 1.328.083.193.230,77 ; 107.332,74 ; 349.344.491,53 ; 489.912.444.779.876,00 ; 106.721.515.127.771,00 ; 6.405,65 ; 1.711.590.245,08 ; 229.569.960.707.392,00 ; 48.077.941.614.656,80 ; 14.319,36 ; 1.326.133.737,46 ; 634.708.491.976.116,00 ; 85.873.319.575.802,90 
2079; 101.174,61 ; 4.162.912,77 ; 10.022.206.657.494,10 ; 1.356.423.569.233,37 ; 108.942,73 ; 354.095.576,62 ; 504.121.504.163.988,00 ; 109.804.176.263.014,00 ; 6.501,74 ; 1.744.623.936,81 ; 237.641.122.523.543,00 ; 49.754.209.213.942,60 ; 14.534,15 ; 1.343.108.249,30 ; 653.025.901.596.731,00 ; 88.309.113.051.668,40 
2080; 102.692,23 ; 4.186.724,63 ; 10.244.890.039.170,80 ; 1.385.352.071.898,94 ; 110.576,87 ; 358.911.276,46 ; 518.740.125.206.657,00 ; 112.975.654.555.684,00 ; 6.599,27 ; 1.778.295.178,79 ; 245.991.343.321.890,00 ; 51.488.442.337.378,30 ; 14.752,17 ; 1.360.300.034,89 ; 671.851.896.401.233,00 ; 90.812.832.537.126,10 
2081; 104.232,61 ; 4.210.672,70 ; 10.472.188.508.355,50 ; 1.414.880.946.670,79 ; 112.235,52 ; 363.792.469,82 ; 533.780.105.548.805,00 ; 116.238.508.370.175,00 ; 6.698,25 ; 1.812.616.275,74 ; 254.630.274.488.646,00 ; 53.282.646.004.712,90 ; 14.973,45 ; 1.377.711.875,33 ; 691.200.736.984.714,00 ; 93.386.381.589.564,30 
2082; 105.796,10 ; 4.234.757,75 ; 10.704.197.941.064,60 ; 1.445.022.693.588,41 ; 113.919,06 ; 368.740.047,41 ; 549.253.582.656.348,00 ; 119.595.369.762.071,00 ; 6.798,73 ; 1.847.599.769,87 ; 263.567.901.293.122,00 ; 55.138.894.588.204,90 ; 15.198,05 ; 1.395.346.587,34 ; 711.087.083.300.523,00 ; 96.031.717.027.431,60 
2083; 107.383,05 ; 4.258.980,56 ; 10.941.016.212.685,50 ; 1.475.790.072.589,45 ; 115.627,84 ; 373.754.912,05 ; 565.173.043.608.441,00 ; 123.048.946.600.751,00 ; 6.900,71 ; 1.883.258.445,42 ; 272.814.554.434.911,00 ; 57.059.334.211.493,20 ; 15.426,02 ; 1.413.207.023,66 ; 731.526.005.821.952,00 ; 98.750.850.421.574,00 
2084; 108.993,79 ; 4.283.341,93 ; 11.182.743.239.457,30 ; 1.507.196.108.921,87 ; 117.362,26 ; 378.837.978,86 ; 581.551.335.167.666,00 ; 126.602.024.753.132,00 ; 7.004,22 ; 1.919.605.333,42 ; 282.380.921.990.540,00 ; 59.046.185.231.447,10 ; 15.657,41 ; 1.431.296.073,56 ; 752.532.997.017.167,00 ; 101.545.849.628.304,00 
2085; 110.628,70 ; 4.307.842,65 ; 11.429.481.020.818,90 ; 1.539.254.098.668,56 ; 119.122,69 ; 383.990.175,37 ; 598.401.674.140.284,00 ; 130.257.470.330.316,00 ; 7.109,28 ; 1.956.653.716,36 ; 292.278.061.773.405,00 ; 61.101.744.805.857,90 ; 15.892,27 ; 1.449.616.663,30 ; 774.123.983.146.126,00 ; 104.418.840.365.368,00 
2086; 112.288,13 ; 4.332.483,51 ; 11.681.333.682.640,50 ; 1.571.977.614.386,73 ; 120.909,53 ; 389.212.441,75 ; 615.737.658.034.904,00 ; 134.018.231.998.945,00 ; 7.215,92 ; 1.994.417.133,08 ; 302.517.414.121.299,00 ; 63.228.389.549.949,20 ; 16.130,66 ; 1.468.171.756,59 ; 796.315.336.388.465,00 ; 107.372.007.832.011,00 
2087; 113.972,45 ; 4.357.265,31 ; 11.938.407.521.357,20 ; 1.605.380.510.864,52 ; 122.723,18 ; 394.505.730,96 ; 633.573.276.028.167,00 ; 137.887.343.359.132,00 ; 7.324,16 ; 2.032.909.383,75 ; 313.110.815.126.286,00 ; 65.428.578.284.771,40 ; 16.372,62 ; 1.486.964.355,08 ; 819.123.887.311.578,00 ; 110.407.598.374.381,00 
2088; 115.682,04 ; 4.382.188,87 ; 12.200.811.049.024,60 ; 1.639.476.930.997,23 ; 124.564,03 ; 399.871.008,90 ; 651.922.920.246.289,00 ; 141.867.925.390.894,00 ; 7.434,02 ; 2.072.144.534,86 ; 324.070.510.322.265,00 ; 67.704.854.880.664,40 ; 16.618,21 ; 1.505.997.498,82 ; 842.566.937.688.380,00 ; 113.527.921.197.533,00 
2089; 117.417,27 ; 4.407.254,99 ; 12.468.655.039.313,50 ; 1.674.281.311.785,74 ; 126.432,49 ; 405.309.254,62 ; 670.801.397.371.555,00 ; 145.963.188.971.041,00 ; 7.545,53 ; 2.112.136.924,38 ; 335.409.168.846.008,00 ; 70.059.851.199.073,00 ; 16.867,48 ; 1.525.274.266,81 ; 866.662.273.674.523,00 ; 116.735.350.125.349,00 
2090; 119.178,53 ; 4.432.464,49 ; 12.742.052.574.464,90 ; 1.709.808.390.459,50 ; 128.328,97 ; 410.821.460,49 ; 690.223.940.583.132,00 ; 150.176.437.462.567,00 ; 7.658,72 ; 2.152.901.167,02 ; 347.139.898.088.087,00 ; 72.496.290.136.115,50 ; 17.120,49 ; 1.544.797.777,42 ; 891.428.179.355.079,00 ; 120.032.325.409.700,00 
2091; 120.966,20 ; 4.457.818,18 ; 13.021.119.093.224,30 ; 1.746.073.210.726,91 ; 130.253,91 ; 416.408.632,35 ; 710.206.221.841.824,00 ; 154.511.069.378.628,00 ; 7.773,60 ; 2.194.452.159,54 ; 359.276.258.850.603,00 ; 75.016.988.771.435,00 ; 17.377,30 ; 1.564.571.188,97 ; 916.883.450.671.029,00 ; 123.421.355.590.251,00 
2092; 122.780,70 ; 4.483.316,90 ; 13.305.972.439.775,80 ; 1.783.091.129.155,56 ; 132.207,72 ; 422.071.789,75 ; 730.764.364.528.679,00 ; 158.970.581.123.247,00 ; 7.890,20 ; 2.236.805.086,22 ; 371.832.281.029.262,00 ; 77.624.861.625.957,20 ; 17.637,96 ; 1.584.597.700,19 ; 943.047.409.736.142,00 ; 126.905.019.406.302,00 
2093; 124.622,41 ; 4.508.961,48 ; 13.596.732.913.696,90 ; 1.820.877.821.685,13 ; 134.190,83 ; 427.811.966,09 ; 751.914.956.447.645,00 ; 163.558.569.810.965,00 ; 8.008,55 ; 2.279.975.424,39 ; 384.822.479.837.934,00 ; 80.322.924.032.343,20 ; 17.902,53 ; 1.604.880.550,75 ; 969.939.919.555.151,00 ; 130.485.967.762.144,00 
